journal,ISSN (SCEI),eISSN (SCEI),Manual ,Manual ,Manual ,Manual (4),Notes
CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1480-3283,,,,,
CONSERVATION BIOLOGY,0888-8892,1523-1739,,,,,
ECOLOGY,0012-9658,1939-9170,,,,,
BIOLOGICAL CONSERVATION,0006-3207,1873-2917,,,,,
AMERICAN MIDLAND NATURALIST,,,1938-4238,0003-0031,0065-9436,,
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0706-652X,1205-7533,,,,,
JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1937-2817,,,,,
COPEIA,,,1938-5110,0045-8511,,,
SCIENCE,0036-8075,1095-9203,,,,,
OECOLOGIA,0029-8549,1432-1939,,,,,
MOLECULAR ECOLOGY,,1365-294X,,,,,
ECOLOGICAL APPLICATIONS,1051-0761,1939-5582,,,,,
JOURNAL OF THE FISHERIES RESEARCH BOARD OF CANADA,,,0015-296X,,,,
EVOLUTION,0014-3820,1558-5646,,,,,
NATURE,0028-0836,1476-4687,,,,,
CANADIAN JOURNAL OF BOTANY,,,1480-3305,0008-4026,,,
BIOSCIENCE,0006-3568,1525-3244,,,,,
PLOS ONE,,1932-6203,,,,,
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES,,,1091-6490,0027-8424,,,United States of America
CONDOR,,,0010-5422,1938-5129,,,"Los Angeles, California"
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,0002-8487,1548-8659,,,,,
AUK,,,0004-8038,1938-4254,,,
MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1095-9513,,,,,
AMERICAN JOURNAL OF BOTANY,0002-9122,1537-2197,,,,,
OIKOS,0030-1299,1600-0706,,,,,
CANADIAN FIELD-NATURALIST,,,0008-3550,,,,
JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,,,,,
JOURNAL OF MAMMALOGY,0022-2372,1545-1542,,,,,
ENVIRONMENTAL BIOLOGY OF FISHES,0378-1909,1573-5133,,,,,
JOURNAL OF FISH BIOLOGY,,1095-8649,,,,,
JOURNAL OF HERPETOLOGY,0022-1511,1937-2418,,,,,
FOREST ECOLOGY AND MANAGEMENT,0378-1127,1872-7042,,,,,
AMERICAN NATURALIST,0003-0147,1537-5323,,,,,
FISHERIES,0363-2415,1548-8446,,,,,
PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,,,2053-9193,1471-2954,0962-8452,0080-4649,Various ways of the title being written.
CONSERVATION GENETICS,1566-0621,1572-9737,,,,,
MARINE ECOLOGY PROGRESS SERIES,0171-8630,1616-1599,,,,,
NORTHEASTERN NATURALIST,1092-6194,1938-5307,,,,,
JOURNAL OF APPLIED ECOLOGY,0021-8901,1365-2664,,,,,
JOURNAL OF GREAT LAKES RESEARCH,0380-1330,0380-1330,,,,,
ECOLOGICAL MONOGRAPHS,0012-9615,1557-7015,,,,,
ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,,,,,
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,0730-7268,1552-8618,,,,,
JOURNAL OF ZOOLOGY,0952-8369,1469-7998,,,,,
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1548-8675,,,,,
CANADIAN ENTOMOLOGIST,0008-347X,1918-3240,,,,,
ECOGRAPHY,0906-7590,1600-0587,,,,,
BIRDS OF NORTH AMERICA ONLINE,,,1930-0077,,,,
